ventana,inicio_s,fin_s,izquierda,derecha,nota
0,0.0,13.3,4,2,pareja camisa roja/celeste y dos mas hacia la izq; chompa azul y jean cerca de la camara hacia la der
1,33.0,36.2,0,0,falsa activacion (nadie)
2,40.6,46.8,0,2,pareja polo rojo por el carril del fondo
3,64.1,70.8,2,0,camisa a rayas y camisa a cuadros
4,129.3,134.3,0,1,carril del fondo
5,139.5,144.9,1,0,camisa blanca carril del fondo
6,156.2,160.4,1,0,mandil blanco pegado a la camara
7,177.7,182.6,1,0,casaca negra carril del fondo
8,198.3,203.4,0,1,polo negro jean
9,213.6,222.0,0,0,grupo de 3 que sale de la camara hacia el fondo-izquierda (no cruza la vereda)
10,232.1,235.9,1,0,mandil blanco pegado a la camara
11,239.0,244.3,0,1,camisa blanca mochila roja
12,249.2,261.1,0,2,pantalon verde y chica de jean; chico de casaca roja se queda parado 7 s en la zona A
13,263.2,275.1,1,2,
14,292.8,298.6,0,1,
15,363.4,371.6,0,3,un chico viene de la derecha y regresa con el grupo (no cuenta)
16,392.0,396.3,0,1,
17,397.1,404.7,2,0,
18,405.6,410.7,1,1,se cruzan en el medio
19,412.0,416.7,0,1,
20,418.1,423.4,0,1,pegado a la camara
21,423.6,431.4,1,1,varios parados junto a los tachos
22,431.6,441.3,1,2,dos estaban parados y luego avanzan a la derecha
23,444.7,450.4,1,0,
24,453.3,474.2,4,4,GRUPO DENSO: ~5 entran por la derecha y se paran junto a los tachos; conteo aproximado
25,474.8,483.7,2,0,
26,494.5,498.8,3,0,grupo pegado a la camara; aproximado
27,502.8,507.5,0,1,
28,507.6,511.8,1,0,
29,514.8,530.8,0,6,grupo denso hacia la derecha; aproximado
30,542.5,545.5,0,0,falsa activacion (nadie)
31,574.8,580.5,0,1,
32,593.9,598.3,0,1,
